gameId,gameDateTimeEst,teamId,opponentTeamId,win,Min,PTS,FGA,FGM,FGP,TPA,TPM,TPP,FTA,FTM,FTP,AST,TOV,OREB,BLK,STL,PF,DREB,Opp_PTS,Opp_FGA,Opp_FGM,Opp_FGP,Opp_TPA,Opp_TPM,Opp_TPP,Opp_FTA,Opp_FTM,Opp_FTP,Opp_AST,Opp_TOV,Opp_BLK,Opp_STL,Opp_PF,Opp_OREB,Opp_DREB,Poss,Opp_Poss,eFG,TS,AST_Per,TOV_Rat,OREB_Per,Opp_eFG,BLK_Rat,STL_Rat,PF_Rat,Opp_TOV_Rat,DREB_Per,off_eff,def_eff,net_eff,off_rat,def_rat,net_rat
22500013,2025-12-25 17:30:00+00:00,1610612743,1610612750,1,265.0,142,101.0,47.0,0.465,43.0,19.0,0.442,32.0,29.0,0.906,31.0,17.0,11.0,5.0,6.0,18.0,34.0,138,104,51,0.49,45,12,0.267,30,24,0.8,31,13,12,10,27,11,36,121.07999999999998,119.19999999999999,0.559,0.617,0.66,14.04,0.234,0.548,4.195,5.034,15.101,10.906,0.756,117.278,115.772,1.506,103.444,90.447,193.891
22500013,2025-12-25 17:30:00+00:00,1610612750,1610612743,0,265.0,138,104.0,51.0,0.49,45.0,12.0,0.267,30.0,24.0,0.8,31.0,13.0,11.0,12.0,10.0,27.0,36.0,142,101,47,0.465,43,19,0.442,32,29,0.906,31,17,5,6,18,11,34,119.19999999999999,121.07999999999998,0.548,0.589,0.608,10.906,0.244,0.559,9.911,8.259,22.299,14.04,0.766,115.772,117.278,-1.506,104.496,122.094,226.59
22500012,2025-12-25 15:00:00+00:00,1610612745,1610612747,1,240.0,119,90.0,48.0,0.533,24.0,8.0,0.333,19.0,15.0,0.789,24.0,15.0,17.0,6.0,10.0,13.0,31.0,96,77,39,0.506,30,11,0.367,11,7,0.636,19,16,5,7,17,7,18,96.36,90.84,0.578,0.605,0.5,15.567,0.486,0.578,6.605,11.008,14.311,17.613,0.816,123.495,105.68,17.815,107.908,124.131,232.039
22500012,2025-12-25 15:00:00+00:00,1610612747,1610612745,0,240.0,96,77.0,39.0,0.506,30.0,11.0,0.367,11.0,7.0,0.636,19.0,16.0,7.0,5.0,7.0,17.0,18.0,119,90,48,0.533,24,8,0.333,19,15,0.789,24,15,6,10,13,17,31,90.84,96.36,0.578,0.587,0.487,17.613,0.184,0.578,5.189,7.264,17.642,15.567,0.514,105.68,123.495,-17.815,92.527,99.47,191.997
22500011,2025-12-25 12:00:00+00:00,1610612742,1610612744,0,240.0,116,89.0,49.0,0.551,14.0,4.0,0.286,21.0,14.0,0.667,18.0,11.0,3.0,5.0,5.0,16.0,38.0,126,99,44,0.444,50,14,0.28,26,24,0.923,33,11,4,9,22,13,36,106.24,108.44,0.573,0.59,0.367,10.354,0.077,0.515,4.611,4.611,14.755,10.144,0.745,109.187,116.193,-7.007,92.093,91.968,184.062
22500011,2025-12-25 12:00:00+00:00,1610612744,1610612742,1,240.0,126,99.0,44.0,0.444,50.0,14.0,0.28,26.0,24.0,0.923,33.0,11.0,13.0,4.0,9.0,22.0,36.0,116,89,49,0.551,14,4,0.286,21,14,0.667,18,11,5,5,16,3,38,108.44,106.24,0.515,0.57,0.75,10.144,0.255,0.573,3.765,8.471,20.708,10.354,0.923,116.193,109.187,7.007,108.332,94.85,203.182
22500010,2025-12-25 09:30:00+00:00,1610612759,1610612760,1,240.0,117,84.0,45.0,0.536,29.0,11.0,0.379,21.0,16.0,0.762,20.0,12.0,10.0,4.0,3.0,16.0,39.0,102,95,37,0.389,44,11,0.25,25,17,0.68,23,7,6,7,18,16,32,95.24,97.0,0.601,0.627,0.444,12.6,0.238,0.447,4.124,3.093,16.495,7.216,0.709,122.848,105.155,17.693,101.043,84.774,185.817
22500010,2025-12-25 09:30:00+00:00,1610612760,1610612759,0,240.0,102,95.0,37.0,0.389,44.0,11.0,0.25,25.0,17.0,0.68,23.0,7.0,16.0,6.0,7.0,18.0,32.0,117,84,45,0.536,29,11,0.379,21,16,0.762,20,12,4,3,16,10,39,97.0,95.24,0.447,0.481,0.622,7.216,0.291,0.601,6.3,7.35,18.9,12.6,0.762,105.155,122.848,-17.693,106.148,102.693,208.841
22500009,2025-12-25 07:00:00+00:00,1610612739,1610612752,0,240.0,124,86.0,45.0,0.523,34.0,15.0,0.441,23.0,19.0,0.826,30.0,14.0,9.0,0.0,7.0,22.0,36.0,126,94,44,0.468,44,21,0.477,22,17,0.773,28,13,4,9,17,12,31,101.12,104.68,0.61,0.645,0.667,13.845,0.225,0.58,0.0,6.687,21.016,12.419,0.75,122.627,120.367,2.26,107.544,73.874,181.418
22500009,2025-12-25 07:00:00+00:00,1610612752,1610612739,1,240.0,126,94.0,44.0,0.468,44.0,21.0,0.477,22.0,17.0,0.773,28.0,13.0,12.0,4.0,9.0,17.0,31.0,124,86,45,0.523,34,15,0.441,23,19,0.826,30,14,0,7,22,9,36,104.68,101.12,0.58,0.608,0.636,12.419,0.25,0.61,3.956,8.9,16.812,13.845,0.775,120.367,122.627,-2.26,105.969,99.42,205.389
22500422,2025-12-23 17:30:00+00:00,1610612745,1610612746,0,240.0,108,86.0,43.0,0.5,30.0,9.0,0.3,18.0,13.0,0.722,25.0,13.0,15.0,6.0,5.0,20.0,27.0,128,77,42,0.545,37,20,0.541,27,24,0.889,25,8,4,7,19,6,28,91.92,90.88,0.552,0.575,0.581,14.143,0.349,0.675,6.602,5.502,22.007,8.803,0.818,117.493,140.845,-23.352,103.405,91.673,195.078
22500422,2025-12-23 17:30:00+00:00,1610612746,1610612745,1,240.0,128,77.0,42.0,0.545,37.0,20.0,0.541,27.0,24.0,0.889,25.0,8.0,6.0,4.0,7.0,19.0,28.0,108,86,43,0.5,30,9,0.3,18,13,0.722,25,13,6,5,20,15,27,90.88,91.92,0.675,0.72,0.595,8.803,0.182,0.552,4.352,7.615,20.67,14.143,0.651,140.845,117.493,23.352,118.643,96.584,215.226
22500420,2025-12-23 17:00:00+00:00,1610612753,1610612757,1,240.0,110,85.0,37.0,0.435,33.0,15.0,0.455,23.0,21.0,0.913,26.0,14.0,10.0,5.0,10.0,21.0,28.0,106,87,41,0.471,32,9,0.281,19,15,0.789,23,17,7,9,22,11,34,99.12,101.36,0.524,0.578,0.703,14.124,0.227,0.523,4.933,9.866,20.718,16.772,0.718,110.977,104.578,6.399,100.806,110.16,210.966
22500420,2025-12-23 17:00:00+00:00,1610612757,1610612753,0,240.0,106,87.0,41.0,0.471,32.0,9.0,0.281,19.0,15.0,0.789,23.0,17.0,11.0,7.0,9.0,22.0,34.0,110,85,37,0.435,33,15,0.455,23,21,0.913,26,14,5,10,21,10,28,101.36,99.12,0.523,0.556,0.561,16.772,0.282,0.524,7.062,9.08,22.195,14.124,0.773,104.578,110.977,-6.399,95.234,114.169,209.404
22500421,2025-12-23 17:00:00+00:00,1610612758,1610612765,0,240.0,127,92.0,42.0,0.457,33.0,11.0,0.333,37.0,32.0,0.865,26.0,13.0,19.0,5.0,12.0,25.0,23.0,136,95,51,0.537,32,14,0.438,28,20,0.714,38,15,8,9,23,16,26,102.28,106.32,0.516,0.586,0.619,12.71,0.422,0.611,4.703,11.287,23.514,14.108,0.59,124.169,127.916,-3.747,107.828,103.516,211.344
22500421,2025-12-23 17:00:00+00:00,1610612765,1610612758,1,240.0,136,95.0,51.0,0.537,32.0,14.0,0.438,28.0,20.0,0.714,38.0,15.0,16.0,8.0,9.0,23.0,26.0,127,92,42,0.457,33,11,0.333,37,32,0.865,26,13,5,12,25,19,23,106.32,102.28,0.611,0.634,0.745,14.108,0.41,0.516,7.822,8.799,22.487,12.71,0.578,127.916,124.169,3.747,117.107,112.741,229.847
22500418,2025-12-23 16:00:00+00:00,1610612747,1610612756,0,240.0,108,81.0,39.0,0.481,32.0,12.0,0.375,29.0,18.0,0.621,22.0,17.0,14.0,4.0,7.0,22.0,24.0,132,85,50,0.588,34,14,0.412,20,18,0.9,35,13,6,10,24,12,26,96.76,94.8,0.556,0.576,0.564,17.569,0.35,0.671,4.219,7.384,23.207,13.713,0.667,111.616,139.241,-27.624,100.319,89.802,190.122
22500418,2025-12-23 16:00:00+00:00,1610612756,1610612747,1,240.0,132,85.0,50.0,0.588,34.0,14.0,0.412,20.0,18.0,0.9,35.0,13.0,12.0,6.0,10.0,24.0,26.0,108,81,39,0.481,32,12,0.375,29,18,0.621,22,17,4,7,22,14,24,94.8,96.76,0.671,0.704,0.7,13.713,0.333,0.556,6.201,10.335,24.804,17.569,0.65,139.241,111.616,27.624,119.189,113.695,232.885
22500419,2025-12-23 16:00:00+00:00,1610612762,1610612763,0,240.0,128,90.0,40.0,0.444,45.0,16.0,0.356,36.0,32.0,0.889,29.0,13.0,12.0,2.0,9.0,21.0,28.0,137,88,49,0.557,45,19,0.422,29,20,0.69,41,15,8,10,23,8,33,106.84,107.76,0.533,0.605,0.725,12.168,0.267,0.665,1.856,8.352,19.488,13.92,0.778,119.805,127.134,-7.329,107.184,85.869,193.053
22500419,2025-12-23 16:00:00+00:00,1610612763,1610612762,1,240.0,137,88.0,49.0,0.557,45.0,19.0,0.422,29.0,20.0,0.69,41.0,15.0,8.0,8.0,10.0,23.0,33.0,128,90,40,0.444,45,16,0.356,36,32,0.889,29,13,2,9,21,12,28,107.76,106.84,0.665,0.68,0.837,13.92,0.222,0.533,7.488,9.36,21.528,12.168,0.733,127.134,119.805,7.329,117.391,113.807,231.199
22500417,2025-12-23 15:30:00+00:00,1610612759,1610612760,1,240.0,130,84.0,48.0,0.571,36.0,16.0,0.444,24.0,18.0,0.75,34.0,9.0,10.0,3.0,10.0,13.0,24.0,110,85,46,0.541,30,12,0.4,7,6,0.857,23,13,1,5,17,9,27,93.56,92.08,0.667,0.687,0.708,9.619,0.27,0.612,3.258,10.86,14.118,14.118,0.727,138.948,119.461,19.487,122.179,103.496,225.675
22500417,2025-12-23 15:30:00+00:00,1610612760,1610612759,0,240.0,110,85.0,46.0,0.541,30.0,12.0,0.4,7.0,6.0,0.857,23.0,13.0,9.0,1.0,5.0,17.0,27.0,130,84,48,0.571,36,16,0.444,24,18,0.75,34,9,3,10,13,10,24,92.08,93.56,0.612,0.624,0.5,14.118,0.273,0.667,1.069,5.344,18.17,9.619,0.73,119.461,138.948,-19.487,103.029,69.813,172.842
22500415,2025-12-23 15:00:00+00:00,1610612742,1610612743,1,240.0,131,93.0,53.0,0.57,27.0,11.0,0.407,15.0,14.0,0.933,34.0,10.0,11.0,2.0,9.0,12.0,25.0,130,87,50,0.575,41,20,0.488,10,10,1.0,39,15,1,8,16,7,27,98.6,99.4,0.629,0.658,0.642,10.142,0.289,0.69,2.012,9.054,12.072,15.091,0.781,132.86,130.785,2.075,116.354,95.042,211.395
22500415,2025-12-23 15:00:00+00:00,1610612743,1610612742,0,240.0,130,87.0,50.0,0.575,41.0,20.0,0.488,10.0,10.0,1.0,39.0,15.0,7.0,1.0,8.0,16.0,27.0,131,93,53,0.57,27,11,0.407,15,14,0.933,34,10,2,9,12,11,25,99.4,98.6,0.69,0.711,0.78,15.091,0.219,0.629,1.014,8.114,16.227,10.142,0.711,130.785,132.86,-2.075,117.011,79.749,196.76
22500416,2025-12-23 15:00:00+00:00,1610612750,1610612752,1,240.0,115,93.0,42.0,0.452,46.0,15.0,0.326,23.0,16.0,0.696,25.0,11.0,10.0,9.0,12.0,15.0,32.0,104,99,41,0.414,30,11,0.367,15,11,0.733,20,19,2,8,21,18,37,104.12,106.6,0.532,0.558,0.595,10.565,0.213,0.47,8.443,11.257,14.071,17.824,0.64,110.449,97.561,12.889,101.129,136.078,237.207
22500416,2025-12-23 15:00:00+00:00,1610612752,1610612750,0,240.0,104,99.0,41.0,0.414,30.0,11.0,0.367,15.0,11.0,0.733,20.0,19.0,18.0,2.0,8.0,21.0,37.0,115,93,42,0.452,46,15,0.326,23,16,0.696,25,11,9,12,15,10,32,106.6,104.12,0.47,0.492,0.488,17.824,0.36,0.532,1.921,7.683,20.169,10.565,0.787,97.561,110.449,-12.889,89.717,85.504,175.221
22500411,2025-12-23 14:30:00+00:00,1610612737,1610612741,0,240.0,123,95.0,48.0,0.505,42.0,14.0,0.333,20.0,13.0,0.65,38.0,11.0,6.0,4.0,9.0,24.0,32.0,126,91,46,0.505,39,13,0.333,28,21,0.75,35,16,5,4,18,9,39,108.8,110.32,0.579,0.592,0.792,10.11,0.133,0.577,3.626,8.158,21.755,14.503,0.78,113.051,114.213,-1.162,109.136,95.562,204.699
22500412,2025-12-23 14:30:00+00:00,1610612739,1610612740,1,240.0,141,105.0,56.0,0.533,49.0,20.0,0.408,11.0,9.0,0.818,40.0,13.0,14.0,6.0,8.0,21.0,35.0,118,94,43,0.457,26,11,0.423,25,21,0.84,26,16,2,10,16,13,30,108.84,108.0,0.629,0.642,0.714,11.944,0.318,0.516,5.556,7.407,19.444,14.815,0.729,129.548,109.259,20.289,116.198,105.18,221.378
22500412,2025-12-23 14:30:00+00:00,1610612740,1610612739,0,240.0,118,94.0,43.0,0.457,26.0,11.0,0.423,25.0,21.0,0.84,26.0,16.0,13.0,2.0,10.0,16.0,30.0,141,105,56,0.533,49,20,0.408,11,9,0.818,40,13,6,8,21,14,35,108.0,108.84,0.516,0.562,0.605,14.815,0.271,0.629,1.838,9.188,14.7,11.944,0.682,109.259,129.548,-20.289,97.654,88.935,186.589
22500411,2025-12-23 14:30:00+00:00,1610612741,1610612737,1,240.0,126,91.0,46.0,0.505,39.0,13.0,0.333,28.0,21.0,0.75,35.0,16.0,9.0,5.0,4.0,18.0,39.0,123,95,48,0.505,42,14,0.333,20,13,0.65,38,11,4,9,24,6,32,110.32,108.8,0.577,0.61,0.761,14.503,0.22,0.579,4.596,3.676,16.544,10.11,0.867,114.213,113.051,1.162,106.321,86.679,193.0
22500414,2025-12-23 14:30:00+00:00,1610612748,1610612761,0,240.0,91,82.0,33.0,0.402,30.0,8.0,0.267,20.0,17.0,0.85,18.0,17.0,10.0,1.0,12.0,18.0,30.0,112,86,41,0.477,38,14,0.368,18,16,0.889,29,16,5,12,19,15,35,97.8,94.92,0.451,0.501,0.545,17.382,0.222,0.558,1.054,12.642,18.963,16.856,0.667,93.047,117.994,-24.947,85.445,99.859,185.304
22500413,2025-12-23 14:30:00+00:00,1610612749,1610612754,1,240.0,111,82.0,42.0,0.512,30.0,10.0,0.333,24.0,17.0,0.708,20.0,15.0,7.0,7.0,6.0,26.0,41.0,94,81,33,0.407,31,8,0.258,33,20,0.606,20,12,3,7,21,7,33,100.56,100.52,0.573,0.6,0.476,14.916,0.175,0.457,6.964,5.969,25.865,11.938,0.854,110.382,93.514,16.868,94.169,106.683,200.852
